env,a,,,,,,
,bug_id,Summary,STR,AR,ER,Severity,Priority
,11,Пользователь зарегистрирован при использовании кириллицы в поле Surname,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации:
Name: Vladimir
Surname: Иванов
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Иванов,,
,,,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации:
Name: Vladimir
Surname: Iva  nov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Iva  nov,,
,12,Пользователь зарегистрирован при введении одного знака в поле Surname,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Surname ввести символ I :
Name: Vladimir
Surname: I
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir I,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,14,Пользователь зарегистрирован при введении трёх знаков в поле Surname,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Surname ввести символы Iva :
Name: Vladimir
Surname: Iva
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Iva,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,15,Пользователь зарегистрирован при введении четырёх знаков в поле Surname,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Surname ввести символы Ivan:
Name: Vladimir
Surname: Ivan
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivan,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,16,Пользователь зарегистрирован при введении 129 знаков в поле Surname,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Surname ввести символы IvanovqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhiq:
Name: Vladimir
Surname: IvanovqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhiq
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir IvanovqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhiq,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,17,Пользователь зарегистрирован при введении 155 знаков в поле Surname,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Surname ввести символы IvanovqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhiqtvur :
Name: Vladimir
Surname: IvanovqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhiqtvur
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir IvanovqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhiqtvur,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,18,"Пользователь зарегистрирован при  введии спецсимвола точка ""."" два раза подряд в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasya..ivanov@spaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: vasya..ivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,19,"Пользователь зарегистрирован при  введии спецсимвола тире ""-"" два раза подряд в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasya--ivanov@spaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: vasya--ivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,20,"Пользователь зарегистрирован при отсутствии обязательного символа ""@"" в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanovspaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: vasyaivanovspaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,21,"Пользователь зарегистрирован при использовании двух подряд  символов ""@"" в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanovspaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,22,Пользователь зарегистрирован при использовании кириллицы в поле Email,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести Васяиванов@spaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: Васяиванов@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,23,"Пользователь зарегистрирован при использовании спецсимвола пробел "" "" в середине слова в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasya ivanov@spaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: vasya ivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,24,"Пользователь зарегистрирован при отсутствии символов до знака собака ""@"" в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести @spaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: @spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,25,"Пользователь зарегистрирован при введении одного символова до знака собака ""@"" в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести v@spaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: v@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,26,"Пользователь зарегистрирован при введении трёх символов до знака собака ""@"" в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести nov@spaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: nov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,27,"Пользователь зарегистрирован при введении четырёх символов до знака собака ""@"" в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести anov@spaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: anov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,28,"Пользователь зарегистрирован при введении 49 символов до знака собака ""@"" в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести uyfrewivanovfrewivanovfrewivanovyuhjnbcfrewivanov@spaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: uyfrewivanovfrewivanovfrewivanovyuhjnbcfrewivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,29,"Пользователь зарегистрирован при введении 70 символов до знака собака ""@"" в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести fkitopkjuybvc47f8ds32uyfrewivanovfrewivanovfrewivanovyuhjnbcfrewivanov@spaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: fkitopkjuybvc47f8ds32uyfrewivanovfrewivanovfrewivanovyuhjnbcfrewivanov@spaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,30,"Пользователь зарегистрирован при введении символов на кириллице от знака собака ""@"" до последней точки в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести Vasyaivanov@спейсвеб.com:
Name: Vladimir
Surname: Ivanov
Email: Vasyaivanov@спейсвеб.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,31,"Пользователь зарегистрирован при введении символа пробел "" "" в середине слова от знака собака ""@"" до последней точки в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@spac eweb.com:
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spac eweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,32,"Пользователь зарегистрирован при введении символа точка ""."" в середине слова от знака собака ""@"" до последней точки в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@spac..eweb.com:
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spac..eweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,33,"Пользователь зарегистрирован при введении символа тире ""-"" два раза подряд в середине слова от знака собака ""@"" до последней точки в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@spac--eweb.com:
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spac--eweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,34,"Пользователь зарегистрирован при отсутствии символов от знака собака ""@"" до последней точки в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@.com:
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,35,"Пользователь зарегистрирован при введение одного символа от знака собака ""@"" до последней точки в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@b.com:
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@b.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,36,"Пользователь зарегистрирован при введение 33 символов от знака собака ""@"" до последней точки в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@traturbospacewebjtraturbospaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@traturbospacewebjtraturbospaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,37,"Пользователь зарегистрирован при введение 50 символов от знака собака ""@"" до последней точки в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@traturbospacewebjtraturbtraturbospacewebjospaceweb.com:
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@traturbospacewebjtraturbtraturbospacewebjospaceweb.com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,38,Пользователь зарегистрирован при введение букв и цифр от последней точки до конца в поле Email,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@spaceweb.com83:
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.com83
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,39,Пользователь зарегистрирован при введение кириллицы от последней точки до конца в поле Email,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@spaceweb.ком:
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.ком
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,40,"Пользователь зарегистрирован при введение пробела "" "" вначале слова от последней точки до конца в поле Email","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@spaceweb. com:
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb. com
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,"41,42",Пользователь зарегистрирован при отсутствии символов от последней точки до конца в поле Email,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@spaceweb. :
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,43,Пользователь зарегистрирован при введении одного символа от последней точки до конца в поле Email,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@spaceweb.с :
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.с
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,44,Пользователь зарегистрирован при введении 17 символов от последней точки до конца в поле Email,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@spaceweb.comatekupertiyfov :
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.comatekupertiyfov
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,45,Пользователь зарегистрирован при введении 25 символов от последней точки до конца в поле Email,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Email ввести vasyaivanov@spaceweb.comatekupertiyfovgiklrszx :
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.comatekupertiyfovgiklrszx
Password: Ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,46,Пользователь зарегистрирован при введении всех символов в нижнем регистре  в поле Password,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Password ввести ka5@tewung :
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.com
Password: ka5@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,47,Пользователь зарегистрирован при введении всех символов в верхнем регистре  в поле Password,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Password ввести KA5@TEWUNG :
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.com
Password: KA5@TEWUNG
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,48,"Пользователь зарегистрирован  при введении пароля без использования обязательного символа ""@""  в поле Password","1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Password ввести Ka5tewung :
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.com
Password: Ka5tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
,49,Пользователь зарегистрирован  при введении пароля без использования цифр в поле Password,"1. Открыть страницу регистрации.
2. Ввести валидные данные во все поля формы регистрации, а в поле Password ввести Ka@tewung :
Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.com
Password: Ka@tewung
3. Нажать кнопку ""Submit""",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,"Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",,
